"childid","catholic","race","race_white","race_black","race_hispanic","race_asian","p5numpla","p5hmage","p5hdage","w3daded","w3momed","w3daded_hsb","w3momed_hsb","w3momscr","w3dadscr","w3inccat","w3income","w3povrty","p5fstamp","c5r2mtsc","c5r2mtsc_std","w3income_1k"
"1078009C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,29,34,"8TH GRADE OR BELOW","9TH - 12TH GRADE",1,1,NA,39.2,"$35,001 TO $40,000",37500.5,0,0,36.43,-1.449048,37.5005
"1078011C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,29,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","8TH GRADE OR BELOW",1,1,NA,53.5,"$40,001 TO $50,000",45000.5,0,0,55.531,0.5172729,45.0005
"1078012C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,30,"8TH GRADE OR BELOW","SOME COLLEGE",1,0,38.18,33.42,"$30,001 TO $35,000",32500.5,0,0,35.153,-1.580507,32.5005
"1078013C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,37,NA,"NOT APPLICABLE","8TH GRADE OR BELOW",NA,1,34.95,NA,"$20,001 TO $25,000",22500.5,0,0,53.493,0.3074744,22.5005
"1078014C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.988,-1.494549,NA
"1078020C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,34,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,39.18,"$40,001 TO $50,000",45000.5,0,0,51.509,0.1032348,45.0005
"1078021C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,48,47,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,39.2,"$35,001 TO $40,000",37500.5,1,0,44.028,-0.6668844,37.5005
"1078022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,47,39,"8TH GRADE OR BELOW","VOC/TECH PROGRAM",1,1,33.42,34.95,"$20,001 TO $25,000",22500.5,1,0,41.435,-0.9338165,22.5005
"1082002C",0,"ASIAN",0,0,0,1,1,42,45,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,34.95,"$35,001 TO $40,000",37500.5,0,0,49.913,-0.06106278,37.5005
"1082003C",0,"ASIAN",0,0,0,1,1,49,49,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","BACHELOR'S DEGREE",0,0,34.95,53.5,"$100,001 TO $200,000",150000.5,0,0,61.37,1.118359,150.0005
"1082004C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,43,46,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,35.78,35.63,"$100,001 TO $200,000",150000.5,0,0,52.45,0.2001045,150.0005
"1082005C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,42,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,39.2,"$200,001 TO $200,001",200001,0,0,58.13,0.7848227,200.001
"1082007C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,39,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,48.69,"$100,001 TO $200,000",150000.5,0,0,55.356,0.4992579,150.0005
"1082009C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,38,41,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,52.54,"$100,001 TO $200,000",150000.5,0,0,53.939,0.3533871,150.0005
"1082010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,36,36,"BACHELOR'S DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,35.78,"$100,001 TO $200,000",150000.5,0,0,64.145,1.404027,150.0005
"1082011C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,49,48,"MASTER'S DEGREE (MA, MS)","SOME COLLEGE",0,0,53.5,53.5,"$75,001 TO $100,000",87500.5,0,0,54.776,0.4395507,87.5005
"1082012C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,37,56,"BACHELOR'S DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,63.43,52.54,"$75,001 TO $100,000",87500.5,0,0,59.257,0.9008399,87.5005
"1082014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,NA,77.5,"$200,001 TO $200,001",200001,0,0,66.283,1.62412,200.001
"1082016C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,42,46,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,49.141,-0.140535,62.5005
"1082018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,45,NA,"NOT APPLICABLE","MASTER'S DEGREE (MA, MS)",NA,0,72.1,NA,"$40,001 TO $50,000",45000.5,0,0,40.769,-1.002377,45.0005
"1082021C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,41,"GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE","SOME COLLEGE",0,0,35.78,63.43,"$40,001 TO $50,000",45000.5,0,0,61.575,1.139463,45.0005
"1082023C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,44,49,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,53.5,53.5,"$200,001 TO $200,001",200001,0,0,47.253,-0.3348921,200.001
"1082024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,42,44,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,NA,59,"$100,001 TO $200,000",150000.5,0,0,57.062,0.6748792,150.0005
"1083001C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,39,42,"DOCTORATE OR PROFESSIONAL DEGREE","BACHELOR'S DEGREE",0,0,NA,77.5,"$100,001 TO $200,000",150000.5,0,0,71.503,2.161484,150.0005
"1083003C",0,"MORE THAN ONE RACE, NON HISPANIC",0,0,0,0,1,44,45,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,77.5,77.5,"$200,001 TO $200,001",200001,0,0,52.637,0.2193549,200.001
"1083005C",0,"ASIAN",0,0,0,1,1,39,41,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,38.18,62.87,"$40,001 TO $50,000",45000.5,0,0,62.407,1.225111,45.0005
"1083006C",0,"ASIAN",0,0,0,1,1,44,47,"MASTER'S DEGREE (MA, MS)","DOCTORATE OR PROFESSIONAL DEGREE",0,0,63.43,53.5,"$100,001 TO $200,000",150000.5,0,0,58.944,0.8686186,150.0005
"1083007C",0,"ASIAN",0,0,0,1,1,37,48,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,34.95,34.95,"$20,001 TO $25,000",22500.5,1,1,59.217,0.8967221,22.5005
"1083008C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,35,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,39.2,"$100,001 TO $200,000",150000.5,0,0,53.395,0.297386,150.0005
"1083009C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,39,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,64.89,"$100,001 TO $200,000",150000.5,0,0,77.361,2.764526,150.0005
"1083010C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,40,"DOCTORATE OR PROFESSIONAL DEGREE","DOCTORATE OR PROFESSIONAL DEGREE",0,0,NA,72.1,"$75,001 TO $100,000",87500.5,0,0,69.955,2.002128,87.5005
"1083012C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,41,NA,"NOT APPLICABLE","HIGH SCHOOL DIPLOMA/EQUIVALENT",NA,1,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,54.601,0.4215356,27.5005
"1083013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,44,"MASTER'S DEGREE (MA, MS)","BACHELOR'S DEGREE",0,0,72.1,53.5,"$100,001 TO $200,000",150000.5,0,0,65.657,1.559677,150.0005
"1083016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,NA,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,34.95,"$5,001 TO $10,000",7500.5,1,0,57.392,0.7088505,7.5005
"1083021C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,41,44,"DOCTORATE OR PROFESSIONAL DEGREE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,NA,53.5,"$100,001 TO $200,000",150000.5,0,0,48.955,-0.1596825,150.0005
"1083022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,27,28,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,NA,38.18,"$35,001 TO $40,000",37500.5,0,0,45.261,-0.5399552,37.5005
"1083025C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,40,35,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,39.2,"$100,001 TO $200,000",150000.5,0,0,45.711,-0.4936307,150.0005
"1084005C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.134,0.2705177,NA
"1084016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,48.77,-0.178727,12.5005
"1084019C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,35,40,"SOME COLLEGE","HIGH SCHOOL DIPLOMA/EQUIVALENT",0,1,39.2,34.95,"$10,001 TO $15,000",12500.5,1,1,46.2,-0.4432914,12.5005
"1085002C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.249,-0.02647382,NA
"1085004C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,54,57,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,39.2,"$35,001 TO $40,000",37500.5,0,0,46.308,-0.4321735,37.5005
"1085010C",0,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.598,1.038887,NA
"1085013C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,53,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,NA,"$25,001 TO $30,000",27500.5,0,0,41.053,-0.9731408,27.5005
"1085014C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,44,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$25,001 TO $30,000",27500.5,0,0,64.531,1.443763,27.5005
"1085015C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,NA,35,"SOME COLLEGE","NOT APPLICABLE",0,NA,NA,39.2,"$30,001 TO $35,000",32500.5,0,0,51.411,0.09314635,32.5005
"1085016C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,43,41,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,63.43,35.78,"$50,001 TO $75,000",62500.5,0,0,41.575,-0.9194044,62.5005
"1085017C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,35,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,46.27,-0.4360854,62.5005
"1085018C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,47,47,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,53.5,33.42,"$50,001 TO $75,000",62500.5,0,0,49.629,-0.09029869,62.5005
"1085019C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,39,43,"BACHELOR'S DEGREE","SOME COLLEGE",0,0,NA,35.78,"$75,001 TO $100,000",87500.5,0,0,51.649,0.1176469,87.5005
"1085021C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,44,45,"MASTER'S DEGREE (MA, MS)","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,63.43,63.43,"$100,001 TO $200,000",150000.5,0,0,49.268,-0.1274612,150.0005
"1085023C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,48,56,"BACHELOR'S DEGREE","VOC/TECH PROGRAM",0,1,NA,64.89,"$40,001 TO $50,000",45000.5,0,1,44.243,-0.6447516,45.0005
"1088001C",0,"ASIAN",0,0,0,1,1,45,45,"SOME COLLEGE","SOME COLLEGE",0,0,53.5,53.5,"$50,001 TO $75,000",62500.5,0,0,64.347,1.424821,62.5005
"1088002C",0,"ASIAN",0,0,0,1,1,44,46,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,35.78,"$50,001 TO $75,000",62500.5,0,0,60.333,1.011607,62.5005
"1088004C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.255,0.2829739,NA
"1088005C",0,"ASIAN",0,0,0,1,1,NA,46,"BACHELOR'S DEGREE","NOT APPLICABLE",0,NA,NA,34.95,"$40,001 TO $50,000",45000.5,0,0,52.322,0.1869277,45.0005
"1088007C",0,"ASIAN",0,0,0,1,3,40,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,48.69,53.5,"$100,001 TO $200,000",150000.5,0,0,61.85,1.167772,150.0005
"1088011C",0,"ASIAN",0,0,0,1,1,40,40,"SOME COLLEGE","BACHELOR'S DEGREE",0,0,53.5,48.69,"$75,001 TO $100,000",87500.5,0,0,72.667,2.28131,87.5005
"1088012C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,37,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$40,001 TO $50,000",45000.5,0,0,47.382,-0.3216124,45.0005
"1088013C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.198,0.8947662,NA
"1088014C",0,"ASIAN",0,0,0,1,1,36,37,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$100,001 TO $200,000",150000.5,0,0,67.305,1.729328,150.0005
"1088015C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,NA,27,"HIGH SCHOOL DIPLOMA/EQUIVALENT","NOT APPLICABLE",1,NA,NA,38.18,"$20,001 TO $25,000",22500.5,1,0,56.71,0.6386431,22.5005
"1088016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.887,-2.328493,NA
"1088018C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,43,48,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,53.5,53.5,"$200,001 TO $200,001",200001,0,0,49.383,-0.1156228,200.001
"1088019C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,34,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$35,001 TO $40,000",37500.5,0,0,52.629,0.2185313,37.5005
"1088024C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,46,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,38.18,NA,"$30,001 TO $35,000",32500.5,0,0,44.385,-0.6301336,32.5005
"1088025C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.109,0.2679442,NA
"1089001C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.319,-1.460475,NA
"1089002C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.744,-1.62261,NA
"1089003C",0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,1,31,34,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,35.78,"$25,001 TO $30,000",27500.5,0,0,55.245,0.4878311,27.5005
"1089005C",0,"ASIAN",0,0,0,1,1,32,43,"SOME COLLEGE","9TH - 12TH GRADE",0,1,34.95,35.92,"$15,001 TO $20,000",17500.5,1,0,41.716,-0.9048894,17.5005
"1089008C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,36,37,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,38.18,34.95,"$75,001 TO $100,000",87500.5,0,0,56.67,0.6345254,87.5005
"1089009C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.425,0.09458756,NA
"1089010C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,33,42,"9TH - 12TH GRADE","VOC/TECH PROGRAM",1,1,34.95,39.2,"$40,001 TO $50,000",45000.5,0,0,37.638,-1.324692,45.0005
"1089013C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,27,29,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,35.78,29.6,"$5,001 TO $10,000",7500.5,1,0,39.793,-1.102849,7.5005
"1089020C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,29,33,"DOCTORATE OR PROFESSIONAL DEGREE","SOME COLLEGE",0,0,38.18,35.63,"$40,001 TO $50,000",45000.5,0,0,37.538,-1.334987,45.0005
"1089022C",0,"WHITE, NON-HISPANIC",1,0,0,0,2,25,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$5,000 TO $5,000",5000,1,0,35.437,-1.551271,5
"1090005C",0,"NATIVE HAWAIIAN, OTHER PACIFIC ISLANDER",0,0,0,0,1,38,45,"SOME COLLEGE","GRADUATE/PROFESSIONAL SCHOOL-NO DEGREE",0,0,53.5,48.69,"$75,001 TO $100,000",87500.5,0,0,56.438,0.6106426,87.5005
"1091001C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,39,54,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,39.2,"$40,001 TO $50,000",45000.5,0,0,75.915,2.61567,45.0005
"1091004C",1,"WHITE, NON-HISPANIC",1,0,0,0,2,38,38,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,35.78,"$100,001 TO $200,000",150000.5,0,0,47.414,-0.3183182,150.0005
"1091006C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,34,37,"SOME COLLEGE","SOME COLLEGE",0,0,35.78,38.18,"$75,001 TO $100,000",87500.5,0,0,52.769,0.2329434,87.5005
"1091008C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,46,51,"DOCTORATE OR PROFESSIONAL DEGREE","VOC/TECH PROGRAM",0,1,38.18,59,"$100,001 TO $200,000",150000.5,0,0,61.159,1.096638,150.0005
"1091009C",1,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.934,-2.117768,NA
"1091010C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,38,43,"SOME COLLEGE","SOME COLLEGE",0,0,53.5,35.92,"$50,001 TO $75,000",62500.5,0,0,48.473,-0.2093012,62.5005
"1091011C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,2,44,45,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,64.89,"$50,001 TO $75,000",62500.5,0,0,51.546,0.1070437,62.5005
"1091012C",1,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,43,40,"BACHELOR'S DEGREE","BACHELOR'S DEGREE",0,0,34.95,34.95,"$75,001 TO $100,000",87500.5,0,0,58.856,0.8595596,87.5005
"1091013C",1,"WHITE, NON-HISPANIC",1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.993,-2.214638,NA
"1091014C",1,"WHITE, NON-HISPANIC",1,0,0,0,1,33,39,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,34.95,38.18,"$75,001 TO $100,000",87500.5,0,0,56.845,0.6525405,87.5005
"1092002C",0,"ASIAN",0,0,0,1,1,34,36,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,34.95,39.18,"$25,001 TO $30,000",27500.5,0,1,32.276,-1.876675,27.5005
"1096001C",0,"ASIAN",0,0,0,1,1,56,58,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,45.467,-0.5187489,12.5005
"1096002C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.102,-0.2474932,NA
"1096003C",0,"ASIAN",0,0,0,1,1,28,31,"SOME COLLEGE","8TH GRADE OR BELOW",0,1,NA,39.2,"$20,001 TO $25,000",22500.5,1,1,45.006,-0.5662058,22.5005
"1096004C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.346,0.08645503,NA
"1096005C",0,"ASIAN",0,0,0,1,1,50,NA,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,39.2,"$15,001 TO $20,000",17500.5,1,1,25.909,-2.532115,17.5005
"1096007C",0,"ASIAN",0,0,0,1,1,34,51,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,34.95,NA,"$10,001 TO $15,000",12500.5,1,1,43.218,-0.7502685,12.5005
"1096008C",0,"ASIAN",0,0,0,1,1,19,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,38.18,"$5,001 TO $10,000",7500.5,1,0,40.755,-1.003818,7.5005
"1096010C",0,"ASIAN",0,0,0,1,1,50,NA,"NOT APPLICABLE","8TH GRADE OR BELOW",NA,1,NA,NA,"$5,000 TO $5,000",5000,1,1,40.767,-1.002583,5
"1096011C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.638,-0.5011456,NA
"1096012C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.368,-1.249544,NA
"1096014C",0,"ASIAN",0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.188,0.37902,NA
"1096015C",0,"ASIAN",0,0,0,1,1,52,NA,"NOT APPLICABLE","8TH GRADE OR BELOW",NA,1,NA,NA,"$10,001 TO $15,000",12500.5,1,1,28.997,-2.214226,12.5005
"1096018C",0,"ASIAN",0,0,0,1,2,29,32,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,33.42,"$10,001 TO $15,000",12500.5,1,1,28.982,-2.21577,12.5005
"1096019C",0,"ASIAN",0,0,0,1,4,42,44,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,NA,"$30,001 TO $35,000",32500.5,1,1,36.219,-1.470769,32.5005
"1096020C",0,"WHITE, NON-HISPANIC",1,0,0,0,1,26,29,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,33.42,"$40,001 TO $50,000",45000.5,0,0,57.928,0.7640281,45.0005
"1096022C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,31,30,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,29.6,"$35,001 TO $40,000",37500.5,1,0,31.536,-1.952853,37.5005
"1096024C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,-2.738928,NA
"1097001C",0,"ASIAN",0,0,0,1,1,42,50,"SOME COLLEGE","9TH - 12TH GRADE",0,1,NA,33.42,"$40,001 TO $50,000",45000.5,0,1,46.94,-0.3671134,45.0005
"1097008C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,30,30,"SOME COLLEGE","SOME COLLEGE",0,0,38.18,33.42,"$50,001 TO $75,000",62500.5,0,0,45.332,-0.5326463,62.5005
"1097017C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,26,28,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,NA,35.92,"$40,001 TO $50,000",45000.5,0,0,43.12,-0.7603569,45.0005
"1097020C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,47,NA,"NOT APPLICABLE","SOME COLLEGE",NA,0,NA,NA,"$10,001 TO $15,000",12500.5,1,1,52.948,0.2513703,12.5005
"1098002C",0,"ASIAN",0,0,0,1,2,31,33,"HIGH SCHOOL DIPLOMA/EQUIVALENT","VOC/TECH PROGRAM",1,1,34.95,34.95,"$10,001 TO $15,000",12500.5,1,1,51.63,0.1156909,12.5005
"1098005C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,2,30,31,"8TH GRADE OR BELOW","8TH GRADE OR BELOW",1,1,NA,29.6,"$25,001 TO $30,000",27500.5,0,0,42.935,-0.7794015,27.5005
"1098008C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,1,26,23,"HIGH SCHOOL DIPLOMA/EQUIVALENT","HIGH SCHOOL DIPLOMA/EQUIVALENT",1,1,38.18,29.6,"$30,001 TO $35,000",32500.5,0,0,51.43,0.09510228,32.5005
"1098010C",0,"BLACK OR AFRICAN AMERICAN, NON-HISPANIC",0,1,0,0,1,23,NA,"NOT APPLICABLE","9TH - 12TH GRADE",NA,1,NA,NA,"$5,001 TO $10,000",7500.5,1,1,40.748,-1.004539,7.5005
"1098013C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.56,-2.053325,NA
"1098014C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,32,36,"9TH - 12TH GRADE","8TH GRADE OR BELOW",1,1,34.95,33.42,"$20,001 TO $25,000",22500.5,1,0,40.175,-1.063525,22.5005
"1098015C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.669,0.4285358,NA
"1098016C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.748,-2.754575,NA
"1098017C",0,"HISPANIC, RACE NOT SPECIFIED",0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.346,0.08645503,NA
"1098020C",0,"AMERICAN INDIAN OR ALASKA NATIVE",0,0,0,0,1,42,58,"HIGH SCHOOL DIPLOMA/EQUIVALENT","SOME COLLEGE",1,0,38.18,39.2,"$50,001 TO $75,000",62500.5,0,0,48.092,-0.2485226,62.5005
"1098021C",0,"HISPANIC, RACE SPECIFIED",0,0,1,0,1,34,33,"VOC/TECH PROGRAM","VOC/TECH PROGRAM",1,1,NA,35.92,"$35,001 TO $40,000",37500.5,0,0,50.245,-0.02688559,37.5005
"1099001C",0,"ASIAN",0,0,0,1,1,29,29,"9TH - 12TH GRADE","9TH - 12TH GRADE",1,1,NA,34.95,"$20,001 TO $25,000",22500.5,1,1,38.554,-1.230396,22.5005
"1099002C",0,"ASIAN",0,0,0,1,1,34,32,"HIGH SCHOOL DIPLOMA/EQUIVALENT","8TH GRADE OR BELOW",1,1,33.42,33.42,"$40,001 TO $50,000",45000.5,0,0,54.836,0.4457273,45.0005
